Delito,SubDelito,Fecha,Hora,Victima,SubVictima,Edad,Genero,Pais,Provincia,Canton
ASALTO,GOLPES,04/29/16,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,05/03/16,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,05/05/16,09:00:00 - 11:59:59,VEHICULO,RURAL 4X4 [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,05/04/16,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Desconocido,HOMBRE,COSTA RICA,SAN JOSE,TIBAS 
ASALTO,GOLPES,05/14/16,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,05/16/16,18:00:00 - 20:59:59,PERSONA,GUARDA [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,LIMON,POCOCI 
ASALTO,GOLPES,05/14/16,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,GARABITO 
ASALTO,GOLPES,05/21/16,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,ALAJUELA,SAN RAMON 
ASALTO,GOLPES,05/23/16,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,LA UNION 
ASALTO,GOLPES,05/24/16,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,CORREDORES 
ASALTO,GOLPES,05/21/16,15:00:00 - 17:59:59,PERSONA,CLIENTE LOCAL COMERCIAL [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,05/02/16,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,05/31/16,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,MONTES DE OCA 
ASALTO,GOLPES,06/04/16,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,TURRIALBA 
ASALTO,GOLPES,06/07/16,00:00:00 - 02:59:59,PERSONA,PASAJERO DE TRANSPORTE PUBLICO [PERSONA],Desconocido,HOMBRE,COSTA RICA,SAN JOSE,MONTES DE OCA 
ASALTO,GOLPES,06/08/16,09:00:00 - 11:59:59,PERSONA,CLIENTE BANCARIO [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,SAN JOSE,DESAMPARADOS 
ASALTO,GOLPES,05/25/16,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,LIMON,LIMON 
ASALTO,GOLPES,06/12/16,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,06/15/16,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,06/24/16,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,Desconocido,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,08/12/18,00:00:00 - 02:59:59,PERSONA,CLIENTE LOCAL COMERCIAL [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,HEREDIA 
ASALTO,GOLPES,08/12/18,09:00:00 - 11:59:59,PERSONA,EMPRESARIO/COMERCIANTE [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,CANAS 
